,NAME,Type,GEOCODE_INPUT,LAT,LNG
123,CMEI PADRE SABINO GENTILLE,KGAR,"RUA DA GAROUPA, 365, NATAL-RN",-27.5976801,-48.5520691
124,CMEI PAULINA ENGRACIA MARIZ DE FARIA,KGAR,"RUA LAURENTINO, 142, NATAL-RN",-27.596735,-48.549603
125,CMEI PROF ANTÔNIO GURGEL DE MELO,KGAR,"PRACA ARARUANA, 30, NATAL-RN",-27.6008299,-48.4813689
126,CMEI PROF JOSÉ CARLOS BEZERRA DE JESUS FILHO,KGAR,"RUA ALVORADA, 957, NATAL-RN",-27.607996,-48.457404
127,CMEI PROF LUIZ GONZAGA DINIZ FILHO,KGAR,"RUA RIO BELO, 51, NATAL-RN",-27.779037,-48.506301
128,CMEI PROFA ELIZABETE TEOTÔNIO DA FONSECA MELO,KGAR,"RUA PRACA JARDIM DAS FLORES, 20, NATAL-RN",-27.508422,-48.519113
129,CMEI PROFA FRANCISCA CÉLIA MARTINS DE SOUZA,KGAR,"RUA MARIA DO CARMO DE SOUZA, 134, NATAL-RN",-27.695489,-48.465843
130,CMEI PROFA MARIA ABIGAIL BARROS DE AZEVEDO,KGAR,"RUA DOS REPENTISTAS, 3037, NATAL-RN",-27.4256703,-48.450174
131,CMEI PROFA MARIA CLEONICE ALVES PONTES,KGAR,"AV MARANGUAPE, 660, NATAL-RN",-27.5971027,-48.5580055
132,CMEI PROFA MARIA DA PIEDADE DE MELO E SILVA,KGAR,"RUA BARIRI, 164, NATAL-RN",-27.6655021,-48.5471924
133,CMEI PROFA MARIA DAS GRAÇAS MOTA,KGAR,"SÁLVADOR, 79, NATAL-RN",-27.5971709,-48.4363069
134,CMEI PROFA Mª DE FÁTIMA MEDEIROS DE ARAÚJO,KGAR,"RUA DO FANDANGO, , NATAL-RN",-27.4393149,-48.50152569
135,CMEI PROFA MARIA NAZARÉ DA COSTA GALVAO,KGAR,"SÃO LUIZ, 120, NATAL-RN",-27.604667,-48.463733
136,CMEI PROFA MARLUCE CARLOS DE MELO,KGAR,"RUA VOLTA REDONDA, 2320, NATAL-RN",-27.5268591,-48.4272174
137,CMEI PROFA ROSÁLBA DIAS DE BARROS,KGAR,"RUA CARAMBEI, 95, NATAL-RN",-27.5721551,-48.4277699
138,CMEI PROFA SELVA CAPISTRANO LOPES DA SILVA,KGAR,"PORTO DE ILHÉUS, 1249, NATAL-RN",-27.720374,-48.503313
139,CMEI PROFA STELLA LOPES,KGAR,"RUA DOS MORORÓS, , NATAL-RN",-27.726330,-48.507415
140,CMEI PROFA TELMA REJANE MOURA FREIRE,KGAR,"RUA SÁLINAS, 131D, NATAL-RN",-27.5791028,-48.508576
141,CMEI PROFA TEREZINHA DE JESUS,KGAR,"R. UBAIRA, 184, NATAL-RN",-27.601884,-48.574992
142,CMEI PROFA TEREZINHA LINHARES FAUSTINO,KGAR,"AV DR JOÃO MEDEIROS FILHO, 265, NATAL-RN",-27.718129,-48.563812
143,CMEI SANTA CECÍLIA,KGAR,"R JOSIVALDO GOMES, 856, NATAL-RN",-27.398769,-48.419200
144,CMEI SANTA MÔNICA,KGAR,"RUA VISCONDE DE OURO PRETO, 340, NATAL-RN",-27.5869119,-48.557041
